Date/Time,Electricity:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),Carbon Equivalent:Facility [kg](Hourly)
 01/01  01:00:00,985533.4229541953,0.0,0.0
 01/01  02:00:00,985533.4229541953,0.0,0.0
 01/01  03:00:00,985533.4229541953,0.0,0.0
 01/01  04:00:00,985533.4229541953,0.0,0.0
 01/01  05:00:00,985533.4229541953,0.0,0.0
 01/01  06:00:00,985533.4229541953,0.0,0.0
 01/01  07:00:00,985533.4229541953,0.0,0.0
 01/01  08:00:00,13962703.327754192,12977169.904799996,0.0
 01/01  09:00:00,14328586.312363966,12977169.904799996,0.0
 01/01  10:00:00,15118893.885551352,12977169.904799996,0.0
 01/01  11:00:00,16238783.819893355,12977169.904799996,0.0
 01/01  12:00:00,17364914.284124219,12977169.904799996,0.0
 01/01  13:00:00,18274146.804002506,12977169.904799996,0.0
 01/01  14:00:00,19379087.783651614,12977169.904799996,0.0
 01/01  15:00:00,20504223.303030597,12977169.904799996,0.0
 01/01  16:00:00,21494333.005564047,12977169.904799996,0.0
 01/01  17:00:00,21126524.49593014,12977169.904799996,0.0
 01/01  18:00:00,18904395.024692984,12977169.904799996,0.0
 01/01  19:00:00,15971709.068659952,12977169.904799996,0.0
 01/01  20:00:00,985533.4229541953,0.0,0.0
 01/01  21:00:00,985533.4229541953,0.0,0.0
 01/01  22:00:00,985533.4229541953,0.0,0.0
 01/01  23:00:00,985533.4229541953,0.0,0.0
 01/01  24:00:00,985533.4229541953,0.0,0.0
 01/02  01:00:00,985533.4229541953,0.0,0.0
 01/02  02:00:00,985533.4229541953,0.0,0.0
 01/02  03:00:00,985533.4229541953,0.0,0.0
 01/02  04:00:00,985533.4229541953,0.0,0.0
 01/02  05:00:00,985533.4229541953,0.0,0.0
 01/02  06:00:00,985533.4229541953,0.0,0.0
 01/02  07:00:00,1335655.2936677633,0.0,0.0
 01/02  08:00:00,13962703.327754192,12977169.904799996,0.0
 01/02  09:00:00,13962703.327754192,12977169.904799996,0.0
 01/02  10:00:00,13962703.327754192,12977169.904799996,0.0
 01/02  11:00:00,13962703.327754192,12977169.904799996,0.0
 01/02  12:00:00,13962703.327754192,12977169.904799996,0.0
 01/02  13:00:00,13962703.327754192,12977169.904799996,0.0
 01/02  14:00:00,13962703.327754192,12977169.904799996,0.0
 01/02  15:00:00,13962703.327754192,12977169.904799996,0.0
 01/02  16:00:00,13962703.327754192,12977169.904799996,0.0
 01/02  17:00:00,13962703.327754192,12977169.904799996,0.0
 01/02  18:00:00,13962703.327754192,12977169.904799996,0.0
 01/02  19:00:00,13962703.327754192,12977169.904799996,0.0
 01/02  20:00:00,985533.4229541953,0.0,0.0
 01/02  21:00:00,985533.4229541953,0.0,0.0
 01/02  22:00:00,985533.4229541953,0.0,0.0
 01/02  23:00:00,985533.4229541953,0.0,0.0
 01/02  24:00:00,985533.4229541953,0.0,0.0
 01/03  01:00:00,985533.4229541953,0.0,0.0
 01/03  02:00:00,985533.4229541953,0.0,0.0
 01/03  03:00:00,1640902.4572212513,0.0,0.0
 01/03  04:00:00,2939747.1575205705,0.0,0.0
 01/03  05:00:00,3661549.674479344,0.0,0.0
 01/03  06:00:00,4083439.855553325,0.0,0.0
 01/03  07:00:00,4276472.84378616,0.0,0.0
 01/03  08:00:00,15293957.837556312,12977169.904799996,0.0
 01/03  09:00:00,14474073.094882343,12977169.904799996,0.0
 01/03  10:00:00,13962703.327754192,12977169.904799996,0.0
 01/03  11:00:00,13962703.327754192,12977169.904799996,0.0
 01/03  12:00:00,13962703.327754192,12977169.904799996,0.0
 01/03  13:00:00,13962703.327754192,12977169.904799996,0.0
 01/03  14:00:00,13962703.327754192,12977169.904799996,0.0
 01/03  15:00:00,13962703.327754192,12977169.904799996,0.0
 01/03  16:00:00,13962703.327754192,12977169.904799996,0.0
 01/03  17:00:00,13962703.327754192,12977169.904799996,0.0
 01/03  18:00:00,13962703.327754192,12977169.904799996,0.0
 01/03  19:00:00,13962703.327754192,12977169.904799996,0.0
 01/03  20:00:00,985533.4229541953,0.0,0.0
 01/03  21:00:00,985533.4229541953,0.0,0.0
 01/03  22:00:00,985533.4229541953,0.0,0.0
 01/03  23:00:00,985533.4229541953,0.0,0.0
 01/03  24:00:00,985533.4229541953,0.0,0.0
 01/04  01:00:00,1694132.9538308373,0.0,0.0
 01/04  02:00:00,2793223.9896398636,0.0,0.0
 01/04  03:00:00,3512970.3785005866,0.0,0.0
 01/04  04:00:00,4141768.7056365527,0.0,0.0
 01/04  05:00:00,4700617.826950085,0.0,0.0
 01/04  06:00:00,5236357.024138194,0.0,0.0
 01/04  07:00:00,5740736.40278598,0.0,0.0
 01/04  08:00:00,16860355.409282663,12977169.904799996,0.0
 01/04  09:00:00,15590719.701649325,12977169.904799996,0.0
 01/04  10:00:00,13996990.966623573,12977169.904799996,0.0
 01/04  11:00:00,13962703.327754192,12977169.904799996,0.0
 01/04  12:00:00,13962703.327754192,12977169.904799996,0.0
 01/04  13:00:00,13962703.327754192,12977169.904799996,0.0
 01/04  14:00:00,13962703.327754192,12977169.904799996,0.0
 01/04  15:00:00,13962703.327754192,12977169.904799996,0.0
 01/04  16:00:00,13962703.327754192,12977169.904799996,0.0
 01/04  17:00:00,13962703.327754192,12977169.904799996,0.0
 01/04  18:00:00,13962703.327754192,12977169.904799996,0.0
 01/04  19:00:00,13962703.327754192,12977169.904799996,0.0
 01/04  20:00:00,985533.4229541953,0.0,0.0
 01/04  21:00:00,985533.4229541953,0.0,0.0
 01/04  22:00:00,985533.4229541953,0.0,0.0
 01/04  23:00:00,985533.4229541953,0.0,0.0
 01/04  24:00:00,985533.4229541953,0.0,0.0
 01/05  01:00:00,985533.4229541953,0.0,0.0
 01/05  02:00:00,985533.4229541953,0.0,0.0
 01/05  03:00:00,985533.4229541953,0.0,0.0
 01/05  04:00:00,1040233.7100767486,0.0,0.0
 01/05  05:00:00,1803496.6824988579,0.0,0.0
 01/05  06:00:00,2487805.2111667098,0.0,0.0
 01/05  07:00:00,3030081.2478709609,0.0,0.0
 01/05  08:00:00,3511269.424353122,0.0,0.0
 01/05  09:00:00,3712521.8571866436,0.0,0.0
 01/05  10:00:00,2778223.9379947066,0.0,0.0
 01/05  11:00:00,1346691.4351033809,0.0,0.0
 01/05  12:00:00,985533.4229541953,0.0,0.0
 01/05  13:00:00,985533.4229541953,0.0,0.0
 01/05  14:00:00,985533.4229541953,0.0,0.0
 01/05  15:00:00,985533.4229541953,0.0,0.0
 01/05  16:00:00,985533.4229541953,0.0,0.0
 01/05  17:00:00,985533.4229541953,0.0,0.0
 01/05  18:00:00,985533.4229541953,0.0,0.0
 01/05  19:00:00,985533.4229541953,0.0,0.0
 01/05  20:00:00,985533.4229541953,0.0,0.0
 01/05  21:00:00,985533.4229541953,0.0,0.0
 01/05  22:00:00,985533.4229541953,0.0,0.0
 01/05  23:00:00,985533.4229541953,0.0,0.0
 01/05  24:00:00,985533.4229541953,0.0,0.0
 01/06  01:00:00,985533.4229541953,0.0,0.0
 01/06  02:00:00,985533.4229541953,0.0,0.0
 01/06  03:00:00,985533.4229541953,0.0,0.0
 01/06  04:00:00,985533.4229541953,0.0,0.0
 01/06  05:00:00,985533.4229541953,0.0,0.0
 01/06  06:00:00,1078240.0429114444,0.0,0.0
 01/06  07:00:00,1717157.0435517389,0.0,0.0
 01/06  08:00:00,2257587.2767225119,0.0,0.0
 01/06  09:00:00,2406645.819421222,0.0,0.0
 01/06  10:00:00,1575686.8636341547,0.0,0.0
 01/06  11:00:00,1007777.4518151329,0.0,0.0
 01/06  12:00:00,985533.4229541953,0.0,0.0
 01/06  13:00:00,985533.4229541953,0.0,0.0
 01/06  14:00:00,985533.4229541953,0.0,0.0
 01/06  15:00:00,985533.4229541953,0.0,0.0
 01/06  16:00:00,985533.4229541953,0.0,0.0
 01/06  17:00:00,985533.4229541953,0.0,0.0
 01/06  18:00:00,985533.4229541953,0.0,0.0
 01/06  19:00:00,985533.4229541953,0.0,0.0
 01/06  20:00:00,985533.4229541953,0.0,0.0
