Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),EMS:Adaptive Coefficient_PlantaX08_Office [](Hourly),EMS:aPMV_PlantaX08_Office [](Hourly),EMS:aPMV Heating Setpoint_PlantaX08_Office [](Hourly),EMS:aPMV Cooling Setpoint_PlantaX08_Office [](Hourly),EMS:aPMV Heating Setpoint No Tolerance_PlantaX08_Office [](Hourly),EMS:aPMV Cooling Setpoint No Tolerance_PlantaX08_Office [](Hourly),EMS:Comfortable Hours_PlantaX08_Office [H](Hourly),EMS:Discomfortable Hot Hours_PlantaX08_Office [H](Hourly),EMS:Discomfortable Cold Hours_PlantaX08_Office [H](Hourly),EMS:Discomfortable Total Hours_PlantaX08_Office [H](Hourly),EMS:Occupied hours_PlantaX08_Office [H](Hourly),PLANTAX08:OFFICE:Zone Mean Air Temperature [C](Hourly),PLANTAX08:OFFICE:Zone Operative Temperature [C](Hourly),PEOPLE PLANTAX08:OFFICE:Zone Thermal Comfort Fanger Model PMV [](Hourly),PEOPLE PLANTAX08:OFFICE:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PEOPLE PLANTAX08:OFFICE:Zone Thermal Comfort Mean Radiant Temperature [C](Hourly),PEOPLE PLANTAX08:OFFICE:Zone Thermal Comfort Operative Temperature [C](Hourly),PMV_H_SP_PLANTAX08_OFFICE:Schedule Value [](Hourly),PMV_C_SP_PLANTAX08_OFFICE:Schedule Value [](Hourly),Electricity:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),Carbon Equivalent:Facility [kg](Hourly)
 01/01  01:00:00,9.766666666666668,6.300000000000001,101883.33333333333,4.908333333333333,234.16666666666667,0.0,0.0,40.45179671013648,-71.61019127702916,0.0,0.002193696206334942,-0.39999999999999999,0.39999999999999999,-0.5,0.5,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,22.559931368154893,22.87447848237872,-0.07554399884811176,5.118654132038375,23.189025596602549,22.86296615948935,-0.39999999999999999,0.39999999999999999,985533.4229541953,0.0,0.0
 01/01  02:00:00,12.5,10.433333333333334,101683.33333333333,6.2,203.33333333333335,0.0,0.0,14.343239802376346,-75.11980363430247,0.0,-0.04460149795163281,-0.39999999999999999,0.39999999999999999,-0.5,0.5,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,22.79403555378512,22.968006196268865,-0.035308041237407408,5.031252688482195,23.1419768387526,22.947353591630987,-0.39999999999999999,0.39999999999999999,985533.4229541953,0.0,0.0
 01/01  03:00:00,14.433333333333332,12.766666666666666,101483.33333333333,6.2,225.83333333333335,0.0,0.0,49.43569423733292,-69.38001984457915,0.0,0.016878619926090717,-0.39999999999999999,0.39999999999999999,-0.5,0.5,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,23.027740781772939,23.090622860320349,0.027957121478654074,5.0235306151220959,23.15350493886775,23.072350125631684,-0.39999999999999999,0.39999999999999999,985533.4229541953,0.0,0.0
 01/01  04:00:00,15.566666666666669,14.241666666666668,101341.66666666667,6.783333333333334,230.0,0.0,0.0,71.24737324626469,-59.02909302535108,0.0,0.08288988448175895,-0.39999999999999999,0.39999999999999999,-0.5,0.5,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,23.21377103033865,23.20240612612541,0.09330301853510205,5.186522070465553,23.191041221912177,23.18928924735395,-0.39999999999999999,0.39999999999999999,985533.4229541953,0.0,0.0
 01/01  05:00:00,16.075,14.933333333333332,101300.0,7.316666666666666,230.0,0.0,0.0,83.97198433228725,-47.42179193056226,0.0,0.14084201994319749,-0.39999999999999999,0.39999999999999999,-0.5,0.5,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,23.33662075973734,23.28520382256534,0.14940075061998477,5.466704327944091,23.233786885393348,23.27691526824591,-0.39999999999999999,0.39999999999999999,985533.4229541953,0.0,0.0
 01/01  06:00:00,16.316666666666668,15.333333333333334,101241.66666666667,7.458333333333333,230.0,0.0,0.0,93.4211667612243,-35.53761264184762,0.0,0.18755183899454443,-0.39999999999999999,0.39999999999999999,-0.5,0.5,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,23.41850038936556,23.34695799784727,0.19451741375006613,5.78742151315276,23.275415606328989,23.340788562255857,-0.39999999999999999,0.39999999999999999,985533.4229541953,0.0,0.0
 01/01  07:00:00,16.75,15.383333333333333,101141.66666666667,7.616666666666667,230.0,0.0,0.0,101.7089373153966,-23.749771199616047,0.0,0.2282398272823145,-0.39999999999999999,0.39999999999999999,-0.5,0.5,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,23.509200611485537,23.41480142623494,0.23499842078160206,6.148752268538722,23.320402240984337,23.405521610900725,-0.39999999999999999,0.39999999999999999,985533.4229541953,0.0,0.0
 01/01  08:00:00,17.0,15.125,101100.0,7.7,224.16666666666667,0.0,0.0,109.82687629211552,-12.303016744736082,0.0,0.3005974292898843,-0.39999999999999999,0.39999999999999999,-0.5,0.5,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,23.841952179561987,23.71169475759653,0.31821834855188715,7.123964069633215,23.581437335631067,23.676250654918439,-0.39999999999999999,0.39999999999999999,13962703.327754192,12977169.904799996,0.0
 01/01  09:00:00,16.883333333333334,15.174999999999999,101100.0,7.233333333333333,220.0,3.722222222222222,0.0,118.41058918369055,-1.444760305802361,0.0,0.3852482774381782,-0.39999999999999999,0.39999999999999999,-0.5,0.5,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,24.051547452655059,23.93773266312657,0.3938384457370467,8.236002512801916,23.82391787359809,23.936098327480523,-0.39999999999999999,0.39999999999999999,14328586.312363966,12977169.904799996,0.0
 01/01  10:00:00,16.683333333333338,15.475,101100.0,6.491666666666667,237.5,36.833333333333339,11.999999999999999,127.98633885775983,8.512743245586606,0.0,0.4077101187160963,-0.39999999999999999,0.39999999999999999,-0.5,0.5,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,23.89210646526738,23.940690014424786,0.40771111061499817,8.464366722597936,23.98927356358219,23.95682100841377,-0.39999999999999999,0.39999999999999999,15118893.885551352,12977169.904799996,0.0
