Date/Time,Electricity:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),Carbon Equivalent:Facility [kg](Hourly)
 01/01  01:00:00,4285752.744906509,0.0,0.0
 01/01  02:00:00,2805397.821514418,0.0,0.0
 01/01  03:00:00,1766707.3624781827,0.0,0.0
 01/01  04:00:00,1415734.7982799949,0.0,0.0
 01/01  05:00:00,2108343.218689701,0.0,0.0
 01/01  06:00:00,2646505.546993345,0.0,0.0
 01/01  07:00:00,3170088.167344585,0.0,0.0
 01/01  08:00:00,17928609.826952489,12977169.904799996,0.0
 01/01  09:00:00,18843794.516782706,12977169.904799996,0.0
 01/01  10:00:00,19728509.625062609,12977169.904799996,0.0
 01/01  11:00:00,21027093.791567029,12977169.904799996,0.0
 01/01  12:00:00,21764638.714968858,12977169.904799996,0.0
 01/01  13:00:00,22243389.70758811,12977169.904799996,0.0
 01/01  14:00:00,23134547.890744475,12977169.904799996,0.0
 01/01  15:00:00,24142116.50117299,12977169.904799996,0.0
 01/01  16:00:00,25060925.04902298,12977169.904799996,0.0
 01/01  17:00:00,24748060.98886983,12977169.904799996,0.0
 01/01  18:00:00,22522424.819251986,12977169.904799996,0.0
 01/01  19:00:00,19511219.271493194,12977169.904799996,0.0
 01/01  20:00:00,2574077.463445143,0.0,0.0
 01/01  21:00:00,1879800.115466589,0.0,0.0
 01/01  22:00:00,3398913.796120364,0.0,0.0
 01/01  23:00:00,4431574.690165255,0.0,0.0
 01/01  24:00:00,5099386.598923595,0.0,0.0
 01/02  01:00:00,5654947.38983809,0.0,0.0
 01/02  02:00:00,6352621.798136948,0.0,0.0
 01/02  03:00:00,7123716.844162334,0.0,0.0
 01/02  04:00:00,7935895.190621499,0.0,0.0
 01/02  05:00:00,8439488.815277072,0.0,0.0
 01/02  06:00:00,8720491.246978058,0.0,0.0
 01/02  07:00:00,8953832.784240526,0.0,0.0
 01/02  08:00:00,20127062.702724205,12977169.904799996,0.0
 01/02  09:00:00,19183118.4890638,12977169.904799996,0.0
 01/02  10:00:00,17851344.56788915,12977169.904799996,0.0
 01/02  11:00:00,16978766.801851795,12977169.904799996,0.0
 01/02  12:00:00,16140675.936694267,12977169.904799996,0.0
 01/02  13:00:00,14778784.958208245,12977169.904799996,0.0
 01/02  14:00:00,15499738.470127689,12977169.904799996,0.0
 01/02  15:00:00,17491358.269958855,12977169.904799996,0.0
 01/02  16:00:00,19206878.788190217,12977169.904799996,0.0
 01/02  17:00:00,19577717.282295515,12977169.904799996,0.0
 01/02  18:00:00,17979153.3423146,12977169.904799996,0.0
 01/02  19:00:00,15868813.925462734,12977169.904799996,0.0
 01/02  20:00:00,2632982.586464434,0.0,0.0
 01/02  21:00:00,4242452.911956039,0.0,0.0
 01/02  22:00:00,5418807.581841722,0.0,0.0
 01/02  23:00:00,6337819.4493518429,0.0,0.0
 01/02  24:00:00,7063730.229082225,0.0,0.0
 01/03  01:00:00,7790311.39873439,0.0,0.0
 01/03  02:00:00,8493030.982190043,0.0,0.0
 01/03  03:00:00,9053223.33024518,0.0,0.0
 01/03  04:00:00,9640055.696167509,0.0,0.0
 01/03  05:00:00,9932141.59478824,0.0,0.0
 01/03  06:00:00,10037761.931454748,0.0,0.0
 01/03  07:00:00,9981557.938592665,0.0,0.0
 01/03  08:00:00,21139313.339332183,12977169.904799996,0.0
 01/03  09:00:00,20451216.229731237,12977169.904799996,0.0
 01/03  10:00:00,19432998.375136883,12977169.904799996,0.0
 01/03  11:00:00,18303975.497384907,12977169.904799996,0.0
 01/03  12:00:00,16885200.1306056,12977169.904799996,0.0
 01/03  13:00:00,15711249.257890916,12977169.904799996,0.0
 01/03  14:00:00,14488601.238954977,12977169.904799996,0.0
 01/03  15:00:00,15197485.838772167,12977169.904799996,0.0
 01/03  16:00:00,16101950.060897906,12977169.904799996,0.0
 01/03  17:00:00,15813859.927841872,12977169.904799996,0.0
 01/03  18:00:00,15008588.705113328,12977169.904799996,0.0
 01/03  19:00:00,14528387.733474665,12977169.904799996,0.0
 01/03  20:00:00,3386576.7706838238,0.0,0.0
 01/03  21:00:00,5425471.435400996,0.0,0.0
 01/03  22:00:00,6212170.8262968859,0.0,0.0
 01/03  23:00:00,6512902.683276052,0.0,0.0
 01/03  24:00:00,7086967.567978509,0.0,0.0
 01/04  01:00:00,7668868.522866955,0.0,0.0
 01/04  02:00:00,8126739.066374687,0.0,0.0
 01/04  03:00:00,8449985.029071624,0.0,0.0
 01/04  04:00:00,8907115.125114322,0.0,0.0
 01/04  05:00:00,9390075.127141763,0.0,0.0
 01/04  06:00:00,9910199.746817999,0.0,0.0
 01/04  07:00:00,10430189.022806246,0.0,0.0
 01/04  08:00:00,21540434.33338758,12977169.904799996,0.0
 01/04  09:00:00,20292451.05371348,12977169.904799996,0.0
 01/04  10:00:00,18582987.08555542,12977169.904799996,0.0
 01/04  11:00:00,17489405.64198348,12977169.904799996,0.0
 01/04  12:00:00,16247330.424154556,12977169.904799996,0.0
 01/04  13:00:00,14771074.122900213,12977169.904799996,0.0
 01/04  14:00:00,16637700.454369098,12977169.904799996,0.0
 01/04  15:00:00,19160218.006075596,12977169.904799996,0.0
 01/04  16:00:00,21339231.847842397,12977169.904799996,0.0
 01/04  17:00:00,22339407.872387679,12977169.904799996,0.0
 01/04  18:00:00,20857032.48351812,12977169.904799996,0.0
 01/04  19:00:00,18108616.91105505,12977169.904799996,0.0
 01/04  20:00:00,1820193.9641406518,0.0,0.0
 01/04  21:00:00,2330537.790649449,0.0,0.0
 01/04  22:00:00,3487961.8713278875,0.0,0.0
 01/04  23:00:00,4224801.500304868,0.0,0.0
 01/04  24:00:00,4713616.654130315,0.0,0.0
 01/05  01:00:00,5192583.52046815,0.0,0.0
 01/05  02:00:00,5657373.680679465,0.0,0.0
 01/05  03:00:00,6074460.791836267,0.0,0.0
 01/05  04:00:00,6468228.720778303,0.0,0.0
 01/05  05:00:00,6783222.282063836,0.0,0.0
 01/05  06:00:00,7071057.559429552,0.0,0.0
 01/05  07:00:00,7369451.86049338,0.0,0.0
 01/05  08:00:00,7649953.148103547,0.0,0.0
 01/05  09:00:00,7723635.86016645,0.0,0.0
 01/05  10:00:00,6882299.029109309,0.0,0.0
 01/05  11:00:00,5464661.841860405,0.0,0.0
 01/05  12:00:00,3814974.7486786136,0.0,0.0
 01/05  13:00:00,1964089.481293373,0.0,0.0
 01/05  14:00:00,2969231.0246671384,0.0,0.0
 01/05  15:00:00,5472968.307856119,0.0,0.0
 01/05  16:00:00,7619408.293881021,0.0,0.0
 01/05  17:00:00,8235858.049100419,0.0,0.0
 01/05  18:00:00,7007518.878359143,0.0,0.0
 01/05  19:00:00,4759008.391832221,0.0,0.0
 01/05  20:00:00,3334346.8574548179,0.0,0.0
 01/05  21:00:00,1947429.2891539175,0.0,0.0
 01/05  22:00:00,1610194.0597915929,0.0,0.0
 01/05  23:00:00,2476146.5299301038,0.0,0.0
 01/05  24:00:00,3150064.1645505235,0.0,0.0
 01/06  01:00:00,3798655.902067107,0.0,0.0
 01/06  02:00:00,5027630.798006032,0.0,0.0
 01/06  03:00:00,5658477.202122228,0.0,0.0
 01/06  04:00:00,5387893.668299228,0.0,0.0
 01/06  05:00:00,5384731.769612653,0.0,0.0
 01/06  06:00:00,5645494.447042098,0.0,0.0
 01/06  07:00:00,5945659.408190906,0.0,0.0
