Time,PLANTAX08:OFFICE:WINTER DESIGN DAY IN CICSE ALJARAFE CENTER (01-01:31-12):Des Heat Load [W],PLANTAX08:OFFICE:SUMMER DESIGN DAY IN CICSE ALJARAFE CENTER (01-01:31-12) JUL:Des Sens Cool Load [W],PLANTAX08:OFFICE:WINTER DESIGN DAY IN CICSE ALJARAFE CENTER (01-01:31-12):Des Heat Mass Flow [kg/s],PLANTAX08:OFFICE:SUMMER DESIGN DAY IN CICSE ALJARAFE CENTER (01-01:31-12) JUL:Des Cool Mass Flow [kg/s]
00:10:00,9.531044E+03,7.643860E+03,3.706759E-01,7.475647E-01
00:20:00,9.526128E+03,7.474597E+03,3.704723E-01,7.293187E-01
00:30:00,9.521228E+03,7.309776E+03,3.702694E-01,7.116101E-01
00:40:00,9.516344E+03,7.142362E+03,3.700671E-01,6.937527E-01
00:50:00,9.511474E+03,6.986578E+03,3.698655E-01,6.770299E-01
01:00:00,9.506619E+03,6.830647E+03,3.696645E-01,6.604047E-01
01:10:00,9.506880E+03,6.707303E+03,3.696753E-01,6.473579E-01
01:20:00,9.507140E+03,6.588637E+03,3.696860E-01,6.348383E-01
01:30:00,9.507399E+03,6.474838E+03,3.696968E-01,6.228572E-01
01:40:00,9.507658E+03,6.372567E+03,3.697075E-01,6.120535E-01
01:50:00,9.507916E+03,6.267275E+03,3.697181E-01,6.011017E-01
02:00:00,9.508173E+03,6.170469E+03,3.697288E-01,5.910027E-01
02:10:00,9.508429E+03,6.075249E+03,3.697394E-01,5.811002E-01
02:20:00,9.508684E+03,5.983108E+03,3.697500E-01,5.715342E-01
02:30:00,9.508939E+03,5.893817E+03,3.697605E-01,5.622811E-01
02:40:00,9.509193E+03,5.807360E+03,3.697710E-01,5.533374E-01
02:50:00,9.509446E+03,5.723757E+03,3.697815E-01,5.447032E-01
03:00:00,9.509698E+03,5.643005E+03,3.697919E-01,5.363769E-01
03:10:00,9.509950E+03,5.563481E+03,3.698023E-01,5.282026E-01
03:20:00,9.510200E+03,5.485373E+03,3.698127E-01,5.201914E-01
03:30:00,9.510450E+03,5.409251E+03,3.698231E-01,5.123932E-01
03:40:00,9.510699E+03,5.333877E+03,3.698334E-01,5.046936E-01
03:50:00,9.510948E+03,5.260047E+03,3.698437E-01,4.971626E-01
04:00:00,9.511195E+03,5.186905E+03,3.698539E-01,4.897221E-01
04:10:00,9.511442E+03,5.116416E+03,3.698641E-01,4.825531E-01
04:20:00,9.511688E+03,5.048047E+03,3.698743E-01,4.756102E-01
04:30:00,9.511934E+03,4.980903E+03,3.698845E-01,4.688101E-01
04:40:00,9.512178E+03,4.916668E+03,3.698946E-01,4.623038E-01
04:50:00,9.512422E+03,4.854088E+03,3.699047E-01,4.559783E-01
05:00:00,9.512665E+03,4.794055E+03,3.699148E-01,4.499137E-01
05:10:00,9.512907E+03,4.739718E+03,3.699248E-01,4.444050E-01
05:20:00,9.513149E+03,4.691135E+03,3.699348E-01,4.394604E-01
05:30:00,9.513390E+03,4.648632E+03,3.699448E-01,4.351116E-01
05:40:00,9.513630E+03,4.611709E+03,3.699547E-01,4.313140E-01
05:50:00,9.513869E+03,4.580727E+03,3.699646E-01,4.280977E-01
06:00:00,9.514108E+03,4.555551E+03,3.699745E-01,4.254486E-01
06:10:00,9.514345E+03,4.690641E+03,3.699844E-01,4.377568E-01
06:20:00,9.514583E+03,4.842944E+03,3.699942E-01,4.523648E-01
06:30:00,9.514819E+03,5.047687E+03,3.700040E-01,4.724148E-01
06:40:00,9.515054E+03,5.343107E+03,3.700137E-01,5.014494E-01
06:50:00,9.515289E+03,5.766929E+03,3.700234E-01,5.435320E-01
07:00:00,9.515524E+03,6.301661E+03,3.700331E-01,5.978215E-01
07:10:00,9.515757E+03,6.836162E+03,3.700428E-01,6.544776E-01
07:20:00,9.515990E+03,7.487358E+03,3.700524E-01,7.241661E-01
07:30:00,9.516222E+03,8.224763E+03,3.700620E-01,8.044290E-01
07:40:00,9.516453E+03,9.000884E+03,3.700716E-01,8.910202E-01
07:50:00,9.516684E+03,9.771412E+03,3.700812E-01,9.793829E-01
08:00:00,9.516914E+03,1.054824E+04,3.700907E-01,1.069906E+00
08:10:00,9.517143E+03,1.127745E+04,3.701002E-01,1.157097E+00
08:20:00,9.517371E+03,1.197920E+04,3.701096E-01,1.242366E+00
08:30:00,9.517599E+03,1.264157E+04,3.701191E-01,1.324292E+00
08:40:00,9.517826E+03,1.326749E+04,3.701285E-01,1.402895E+00
08:50:00,9.518052E+03,1.385708E+04,3.701378E-01,1.477946E+00
09:00:00,9.518278E+03,1.440973E+04,3.701472E-01,1.549174E+00
09:10:00,9.518503E+03,1.492118E+04,3.701565E-01,1.615904E+00
09:20:00,9.518727E+03,1.539361E+04,3.701658E-01,1.678159E+00
09:30:00,9.518951E+03,1.582730E+04,3.701750E-01,1.735818E+00
09:40:00,9.519174E+03,1.622279E+04,3.701843E-01,1.788807E+00
09:50:00,9.519396E+03,1.658053E+04,3.701935E-01,1.837037E+00
10:00:00,9.519617E+03,1.690071E+04,3.702026E-01,1.880409E+00
10:10:00,9.519838E+03,1.718404E+04,3.702118E-01,1.918878E+00
10:20:00,9.520058E+03,1.742939E+04,3.702209E-01,1.952229E+00
10:30:00,9.520278E+03,1.763175E+04,3.702300E-01,1.979788E+00
10:40:00,9.520496E+03,1.779760E+04,3.702390E-01,2.002073E+00
10:50:00,9.520714E+03,1.792543E+04,3.702481E-01,2.018955E+00
11:00:00,9.520932E+03,1.801749E+04,3.702571E-01,2.030693E+00
11:10:00,9.521149E+03,1.807062E+04,3.702660E-01,2.036946E+00
11:20:00,9.521365E+03,1.808722E+04,3.702750E-01,2.037972E+00
11:30:00,9.521580E+03,1.807437E+04,3.702839E-01,2.034622E+00
11:40:00,9.521795E+03,1.802824E+04,3.702928E-01,2.026683E+00
11:50:00,9.522009E+03,1.795378E+04,3.703017E-01,2.014721E+00
12:00:00,9.522222E+03,1.785370E+04,3.703105E-01,1.999131E+00
12:10:00,9.522435E+03,1.773543E+04,3.703193E-01,1.980889E+00
12:20:00,9.522647E+03,1.760321E+04,3.703281E-01,1.960644E+00
12:30:00,9.522859E+03,1.746440E+04,3.703369E-01,1.939392E+00
12:40:00,9.523069E+03,1.732578E+04,3.703456E-01,1.918091E+00
12:50:00,9.523279E+03,1.719829E+04,3.703543E-01,1.898168E+00
13:00:00,9.523489E+03,1.709589E+04,3.703630E-01,1.881434E+00
13:10:00,9.523698E+03,1.702526E+04,3.703716E-01,1.869030E+00
13:20:00,9.523906E+03,1.699202E+04,3.703802E-01,1.861866E+00
13:30:00,9.524113E+03,1.699687E+04,3.703888E-01,1.860172E+00
13:40:00,9.524320E+03,1.703939E+04,3.703974E-01,1.863938E+00
13:50:00,9.524527E+03,1.711371E+04,3.704059E-01,1.872502E+00
14:00:00,9.524732E+03,1.720926E+04,3.704145E-01,1.884572E+00
14:10:00,9.524937E+03,1.731944E+04,3.704229E-01,1.899101E+00
14:20:00,9.525142E+03,1.743961E+04,3.704314E-01,1.915353E+00
14:30:00,9.525345E+03,1.756699E+04,3.704398E-01,1.932887E+00
14:40:00,9.525548E+03,1.769936E+04,3.704482E-01,1.951376E+00
14:50:00,9.525751E+03,1.783486E+04,3.704566E-01,1.970547E+00
15:00:00,9.525953E+03,1.797149E+04,3.704650E-01,1.990126E+00
15:10:00,9.526154E+03,1.810493E+04,3.704733E-01,2.009588E+00
15:20:00,9.526355E+03,1.823401E+04,3.704816E-01,2.028698E+00
15:30:00,9.526555E+03,1.835642E+04,3.704899E-01,2.047124E+00
15:40:00,9.526754E+03,1.847034E+04,3.704982E-01,2.064591E+00
15:50:00,9.526953E+03,1.857425E+04,3.705064E-01,2.080859E+00
16:00:00,9.527151E+03,1.866811E+04,3.705146E-01,2.095862E+00
16:10:00,9.527348E+03,1.875804E+04,3.705228E-01,2.110259E+00
16:20:00,9.527545E+03,1.884296E+04,3.705309E-01,2.124003E+00
16:30:00,9.527741E+03,1.892553E+04,3.705391E-01,2.137409E+00
16:40:00,9.527937E+03,1.900378E+04,3.705472E-01,2.150307E+00
16:50:00,9.528132E+03,1.907794E+04,3.705553E-01,2.162699E+00
17:00:00,9.528327E+03,1.914627E+04,3.705633E-01,2.174374E+00
17:10:00,9.528520E+03,1.920598E+04,3.705713E-01,2.184952E+00
17:20:00,9.528714E+03,1.925562E+04,3.705793E-01,2.194159E+00
17:30:00,9.528907E+03,1.929119E+04,3.705873E-01,2.201457E+00
17:40:00,9.529099E+03,1.931283E+04,3.705953E-01,2.206732E+00
17:50:00,9.529290E+03,1.931840E+04,3.706032E-01,2.209691E+00
18:00:00,9.529481E+03,1.930403E+04,3.706111E-01,2.209830E+00
18:10:00,9.529671E+03,1.909310E+04,3.706190E-01,2.186782E+00
18:20:00,9.529861E+03,1.883463E+04,3.706268E-01,2.154471E+00
18:30:00,9.530050E+03,1.850228E+04,3.706347E-01,2.111103E+00
18:40:00,9.530239E+03,1.811582E+04,3.706425E-01,2.059653E+00
18:50:00,9.530427E+03,1.767959E+04,3.706503E-01,2.001031E+00
19:00:00,9.530614E+03,1.719707E+04,3.706580E-01,1.935883E+00
19:10:00,9.530801E+03,1.685191E+04,3.706658E-01,1.885454E+00
19:20:00,9.530987E+03,1.649076E+04,3.706735E-01,1.835477E+00
19:30:00,9.531173E+03,1.613558E+04,3.706812E-01,1.787309E+00
19:40:00,9.531358E+03,1.576081E+04,3.706888E-01,1.737343E+00
19:50:00,9.531542E+03,1.535492E+04,3.706965E-01,1.683899E+00
20:00:00,9.531726E+03,1.489859E+04,3.707041E-01,1.624668E+00
