Time,PLANTAX08:OFFICE:WINTER DESIGN DAY IN CICSE ALJARAFE CENTER (01-01:31-12):Des Heat Load [W],PLANTAX08:OFFICE:SUMMER DESIGN DAY IN CICSE ALJARAFE CENTER (01-01:31-12) JUL:Des Sens Cool Load [W],PLANTAX08:OFFICE:WINTER DESIGN DAY IN CICSE ALJARAFE CENTER (01-01:31-12):Des Heat Mass Flow [kg/s],PLANTAX08:OFFICE:SUMMER DESIGN DAY IN CICSE ALJARAFE CENTER (01-01:31-12) JUL:Des Cool Mass Flow [kg/s]
00:10:00,8.255988E+03,6.819104E+03,3.008085E-01,5.944998E-01
00:20:00,8.240480E+03,6.641944E+03,3.002118E-01,5.777686E-01
00:30:00,8.225020E+03,6.469487E+03,2.996169E-01,5.615247E-01
00:40:00,8.209608E+03,6.301224E+03,2.990238E-01,5.457216E-01
00:50:00,8.194244E+03,6.137149E+03,2.984326E-01,5.303546E-01
01:00:00,8.178927E+03,5.977124E+03,2.978432E-01,5.154074E-01
01:10:00,8.179751E+03,5.857366E+03,2.978749E-01,5.043301E-01
01:20:00,8.180572E+03,5.742616E+03,2.979064E-01,4.937355E-01
01:30:00,8.181391E+03,5.632432E+03,2.979379E-01,4.835844E-01
01:40:00,8.182207E+03,5.527239E+03,2.979693E-01,4.739077E-01
01:50:00,8.183020E+03,5.426373E+03,2.980006E-01,4.646450E-01
02:00:00,8.183831E+03,5.329765E+03,2.980318E-01,4.557878E-01
02:10:00,8.184640E+03,5.236136E+03,2.980629E-01,4.472232E-01
02:20:00,8.185446E+03,5.145060E+03,2.980939E-01,4.389125E-01
02:30:00,8.186249E+03,5.057008E+03,2.981248E-01,4.308906E-01
02:40:00,8.187050E+03,4.971058E+03,2.981556E-01,4.230799E-01
02:50:00,8.187849E+03,4.887930E+03,2.981863E-01,4.155392E-01
03:00:00,8.188645E+03,4.807311E+03,2.982169E-01,4.082408E-01
03:10:00,8.189438E+03,4.727810E+03,2.982474E-01,4.010638E-01
03:20:00,8.190229E+03,4.650072E+03,2.982779E-01,3.940580E-01
03:30:00,8.191018E+03,4.573191E+03,2.983082E-01,3.871477E-01
03:40:00,8.191804E+03,4.497772E+03,2.983385E-01,3.803809E-01
03:50:00,8.192588E+03,4.423398E+03,2.983686E-01,3.737223E-01
04:00:00,8.193370E+03,4.350248E+03,2.983987E-01,3.671858E-01
04:10:00,8.194148E+03,4.279401E+03,2.984286E-01,3.608618E-01
04:20:00,8.194925E+03,4.210799E+03,2.984585E-01,3.547456E-01
04:30:00,8.195699E+03,4.144447E+03,2.984883E-01,3.488371E-01
04:40:00,8.196471E+03,4.080327E+03,2.985180E-01,3.431342E-01
04:50:00,8.197240E+03,4.018414E+03,2.985475E-01,3.376336E-01
05:00:00,8.198007E+03,3.958679E+03,2.985771E-01,3.323324E-01
05:10:00,8.198772E+03,3.905091E+03,2.986065E-01,3.275613E-01
05:20:00,8.199534E+03,3.857109E+03,2.986358E-01,3.232784E-01
05:30:00,8.200294E+03,3.815023E+03,2.986650E-01,3.195079E-01
05:40:00,8.201051E+03,3.778812E+03,2.986942E-01,3.162473E-01
05:50:00,8.201806E+03,3.748474E+03,2.987232E-01,3.134954E-01
06:00:00,8.202559E+03,3.724012E+03,2.987522E-01,3.112515E-01
06:10:00,8.203310E+03,3.859229E+03,2.987810E-01,3.223417E-01
06:20:00,8.204058E+03,4.011602E+03,2.988098E-01,3.353327E-01
06:30:00,8.204804E+03,4.215720E+03,2.988385E-01,3.530250E-01
06:40:00,8.205547E+03,4.508296E+03,2.988671E-01,3.784790E-01
06:50:00,8.206289E+03,4.920637E+03,2.988956E-01,4.147026E-01
07:00:00,8.207028E+03,5.447018E+03,2.989241E-01,4.617515E-01
07:10:00,8.207764E+03,5.969431E+03,2.989524E-01,5.102181E-01
07:20:00,8.208499E+03,6.613288E+03,2.989807E-01,5.704788E-01
07:30:00,8.209231E+03,7.339968E+03,2.990088E-01,6.396324E-01
07:40:00,8.209961E+03,8.108899E+03,2.990369E-01,7.144061E-01
07:50:00,8.210688E+03,8.880255E+03,2.990649E-01,7.911592E-01
08:00:00,8.211414E+03,9.654473E+03,2.990928E-01,8.694556E-01
08:10:00,8.212137E+03,1.038519E+04,2.991206E-01,9.450351E-01
08:20:00,8.212858E+03,1.108366E+04,2.991484E-01,1.018451E+00
08:30:00,8.213576E+03,1.174697E+04,2.991760E-01,1.089180E+00
