Time,PLANTAX08:OFFICE:WINTER DESIGN DAY IN CICSE ALJARAFE CENTER (01-01:31-12):Des Heat Load [W],PLANTAX08:OFFICE:SUMMER DESIGN DAY IN CICSE ALJARAFE CENTER (01-01:31-12) JUL:Des Sens Cool Load [W],PLANTAX08:OFFICE:WINTER DESIGN DAY IN CICSE ALJARAFE CENTER (01-01:31-12):Des Heat Mass Flow [kg/s],PLANTAX08:OFFICE:SUMMER DESIGN DAY IN CICSE ALJARAFE CENTER (01-01:31-12) JUL:Des Cool Mass Flow [kg/s]
00:10:00,8.095651E+03,6.716926E+03,2.926353E-01,5.777996E-01
00:20:00,8.078723E+03,6.538852E+03,2.919898E-01,5.612327E-01
00:30:00,8.061848E+03,6.365302E+03,2.913464E-01,5.451331E-01
00:40:00,8.045025E+03,6.196086E+03,2.907050E-01,5.294802E-01
00:50:00,8.028253E+03,6.031067E+03,2.900655E-01,5.142573E-01
01:00:00,8.011534E+03,5.870129E+03,2.894280E-01,4.994503E-01
01:10:00,8.012432E+03,5.750736E+03,2.894623E-01,4.885749E-01
01:20:00,8.013328E+03,5.636207E+03,2.894964E-01,4.781625E-01
01:30:00,8.014221E+03,5.526717E+03,2.895304E-01,4.682237E-01
01:40:00,8.015111E+03,5.421589E+03,2.895643E-01,4.586982E-01
01:50:00,8.015999E+03,5.320780E+03,2.895982E-01,4.495799E-01
02:00:00,8.016883E+03,5.224128E+03,2.896319E-01,4.408529E-01
02:10:00,8.017765E+03,5.130391E+03,2.896655E-01,4.324091E-01
02:20:00,8.018645E+03,5.039303E+03,2.896990E-01,4.242234E-01
02:30:00,8.019521E+03,4.950691E+03,2.897324E-01,4.162774E-01
02:40:00,8.020395E+03,4.864795E+03,2.897657E-01,4.085908E-01
02:50:00,8.021267E+03,4.781656E+03,2.897989E-01,4.011643E-01
03:00:00,8.022135E+03,4.701125E+03,2.898320E-01,3.939843E-01
03:10:00,8.023001E+03,4.621654E+03,2.898650E-01,3.869187E-01
03:20:00,8.023864E+03,4.543809E+03,2.898979E-01,3.800100E-01
03:30:00,8.024724E+03,4.467060E+03,2.899307E-01,3.732139E-01
03:40:00,8.025582E+03,4.391638E+03,2.899634E-01,3.665484E-01
03:50:00,8.026437E+03,4.317319E+03,2.899960E-01,3.599944E-01
04:00:00,8.027290E+03,4.244181E+03,2.900285E-01,3.535570E-01
04:10:00,8.028140E+03,4.173417E+03,2.900609E-01,3.473344E-01
04:20:00,8.028987E+03,4.104865E+03,2.900932E-01,3.413140E-01
04:30:00,8.029832E+03,4.038579E+03,2.901254E-01,3.354996E-01
04:40:00,8.030674E+03,3.974530E+03,2.901574E-01,3.298879E-01
04:50:00,8.031513E+03,3.912689E+03,2.901894E-01,3.244758E-01
05:00:00,8.032351E+03,3.853029E+03,2.902213E-01,3.192602E-01
05:10:00,8.033185E+03,3.799517E+03,2.902531E-01,3.145676E-01
05:20:00,8.034017E+03,3.751617E+03,2.902848E-01,3.103568E-01
05:30:00,8.034846E+03,3.709615E+03,2.903164E-01,3.066513E-01
05:40:00,8.035672E+03,3.673493E+03,2.903480E-01,3.034488E-01
